YearAdj,Season,SVIndex,YearType,Drought,Outflow,Export,X2,Temperature,Salinity,Secchi
1975,Winter,9.35,Wet,W,33510.72222222222,4943.344444444445,65.2884526815705,NA,NA,NA
1975,Spring,9.35,Wet,W,43479.413043478264,5984.565217391304,58.78886645370836,NA,NA,NA
1975,Summer,9.35,Wet,W,14298.597826086956,6249.195652173913,69.52697363034589,21.032055860717144,0.8308438733574828,36.164328910015186
1975,Fall,9.35,Wet,W,16089.461538461539,7786.714285714285,69.33476488588693,16.10157375447192,0.7370357942971697,44.97084252969136
1976,Winter,5.29,Critical,D,12349.912087912087,7980.978021978022,74.97743216645557,9.807291915571485,1.7981880760392253,60.63595778574273
1976,Spring,5.29,Critical,D,6797.434782608696,6406.195652173913,81.35130022246497,NA,NA,NA
1976,Summer,5.29,Critical,D,4121.858695652174,5179.402173913043,86.5748607866162,21.752214918692275,3.83002855227403,48.06787647537648
1976,Fall,5.29,Critical,D,3612.6153846153848,5747.2967032967035,89.54098523360611,18.18082463526703,3.525854092307522,63.71731806650773
1977,Winter,3.11,Critical,D,4471.522222222222,4748.144444444444,93.13275846659327,9.650440988655998,4.399890349630227,62.81946209901585
1977,Spring,3.11,Critical,D,3301.3695652173915,2799.4347826086955,93.53934705455238,NA,NA,NA
1977,Summer,3.11,Critical,D,2607.4021739130435,1185.2717391304348,95.63809466536374,22.20500745733735,6.263798894382155,60.8991994478951
1977,Fall,3.11,Critical,D,2912.5714285714284,1780.043956043956,95.98824559506707,18.01693651875384,6.267063574366088,63.32580520256883
1978,Winter,8.65,Above Normal,N,43210.822222222225,8611.633333333333,73.36639195483625,11.50741973224732,2.3932764290213693,34.63940054836606
1978,Spring,8.65,Above Normal,N,62530.5,4139.630434782609,56.42530216115877,15.488791419308662,0.39413773986691947,26.975051576775716
1978,Summer,8.65,Above Normal,N,6174.521739130435,8173.847826086957,79.88124843674002,21.77173654800864,2.7366051545693324,38.171471760279616
1978,Fall,8.65,Above Normal,N,10736.043956043955,6086.956043956044,77.50728727967588,16.916013209279566,2.0232260558584554,43.08283328191743
1979,Winter,6.67,Below Normal,N,27954.633333333335,4411.988888888889,71.55073475962634,9.517368253968254,1.450435072398409,36.28233465608466
1979,Spring,6.67,Below Normal,N,22083.75,5487.217391304348,66.16327877375852,15.47406015037594,0.873868108476105,34.777280701754385
1979,Summer,6.67,Below Normal,N,4638.304347826087,8789.782608695652,81.00082761152883,22.082985528080524,2.68890027849586,40.46939556015643
1979,Fall,6.67,Below Normal,N,8308.472527472528,7653.516483516483,82.01332808264128,17.735291005291003,3.686307530913699,52.51383597883598
1980,Winter,9.04,Above Normal,N,85524.15384615384,6175.10989010989,63.32962374035,NA,NA,NA
1980,Spring,9.04,Above Normal,N,49755.07608695652,4828.065217391304,59.21621360580786,15.403783068783069,0.5417205148511842,38.023988603988606
1980,Summer,9.04,Above Normal,N,9940.25,7474.847826086957,72.86180920891451,20.89363159430439,1.2716432872448886,41.606037108079946
1980,Fall,9.04,Above Normal,N,7921.868131868132,6990.516483516483,77.70963540507987,17.04709004475439,2.2192840655634556,50.79990227350908
1981,Winter,6.21,Dry,N,17199.7,7429.933333333333,73.37739009077012,10.203723043240284,2.354748452490426,42.78039408866995
1981,Spring,6.21,Dry,N,15802.5,5777.29347826087,72.5473356698509,16.98509361009361,1.8680992786262671,41.02567647751858
1981,Summer,6.21,Dry,N,4347.239130434783,6827.684782608696,84.32034009559503,22.239599914444167,3.5752299276078228,49.57707693145908
1981,Fall,6.21,Dry,N,15192.538461538461,5817.692307692308,85.2646343641148,17.981161793814508,4.248219924292329,52.66815903908009
1982,Winter,12.76,Wet,W,92159.43333333333,6514.344444444445,55.94804233241485,9.428501268846096,0.68435268603169,37.08992884510126
1982,Spring,12.76,Wet,W,92823.39130434782,8696.5,52.862799363157514,14.427777777777777,0.30155020860176623,36.54099567099567
1982,Summer,12.76,Wet,W,19296.119565217392,5483.858695652174,68.31862792882463,21.021216412741587,0.7213852752645236,39.93428108727022
1982,Fall,12.76,Wet,W,29240.24175824176,5568.956043956044,65.85443439841787,16.348704348406027,0.613140574124669,46.54164816165701
1983,Winter,15.29,Wet,W,116221.45555555556,9562.055555555555,56.33188748591294,9.346931623931624,0.2224538108106083,27.80368945868946
1983,Spring,15.29,Wet,W,161594.9347826087,4201.369565217391,51.48509320042967,NA,0.15576074371980567,31.923492063492063
1983,Summer,15.29,Wet,W,46124.17391304348,5911.478260869565,59.04523431185525,21.176161097310523,0.20689919323823794,39.77932972412857
1983,Fall,15.29,Wet,W,45803.54945054945,2837.5274725274726,60.715115175678484,17.901222222222223,0.2925532930168007,56.281379310344825
1984,Winter,10,Wet,W,100266.16483516483,3153.6593406593406,53.718400522351295,9.850517241379311,0.37777052464547023,41.746600985221676
1984,Spring,10,Wet,W,20275.771739130436,6906.728260869565,66.1121692093045,15.053333333333333,1.117050836852209,45.56666666666667
1984,Summer,10,Wet,W,8752.576086956522,8513.673913043478,76.23368485835167,22.0120301010101,2.1222036278001863,47.51503455608719
1984,Fall,10,Wet,W,17088.43956043956,6384.923076923077,71.08914684576577,17.316556075047405,1.6419502816002192,51.25459840559525
1985,Winter,6.47,Dry,N,20758.9,7294.422222222222,68.07803939517628,9.472147096386447,0.9746855680367568,51.21787737317149
1985,Spring,6.47,Dry,N,8196.717391304348,7450.5,75.51228958193767,NA,NA,NA
1985,Summer,6.47,Dry,N,4054.3478260869565,8817.826086956522,83.78334602896489,22.005841450216447,3.258920296212841,55.20402685492802
1985,Fall,6.47,Dry,N,4464.406593406594,7931.549450549451,89.26358271782334,16.98917938557537,4.046972988734197,75.38310719409715
1986,Winter,9.96,Wet,N,72393.37777777777,8409.733333333334,75.99852800365042,10.166734279918863,2.5269582946928133,57.61119203236851
1986,Spring,9.96,Wet,N,77599.54347826086,4763.336956521739,63.56720420278641,NA,NA,NA
1986,Summer,9.96,Wet,N,7167.858695652174,8357.565217391304,78.03148022990754,21.65995030508619,1.978406529973543,40.47718680662229
1986,Fall,9.96,Wet,N,9698.78021978022,8321.076923076924,77.53040566473027,17.106899808703968,1.897491765900385,48.508741721374435
1987,Winter,5.86,Dry,D,12066.622222222222,6783.788888888889,78.74667561430905,10.565656565656566,3.305668071727563,61.48599326599327
1987,Spring,5.86,Dry,D,11379.978260869566,6028.565217391304,75.3513447057953,NA,NA,NA
1987,Summer,5.86,Dry,D,3291.7391304347825,8107.880434782609,87.23312575039641,21.375923917426242,3.9960630578861003,47.487348084731806
1987,Fall,5.86,Dry,D,3268.6923076923076,6829.417582417583,91.56045076882727,18.511584324009323,4.649221751310955,68.90633384485074
1988,Winter,4.65,Critical,D,10862.956043956045,9806.725274725275,80.60083790671729,10.849968253968253,3.5925929732988293,63.77611111111111
1988,Spring,4.65,Critical,D,6802.619565217391,7826.402173913043,84.62271704971634,NA,NA,NA
1988,Summer,4.65,Critical,D,3039.0652173913045,7728.739130434783,89.288176551079,21.628872890559734,4.5174671303851435,51.84669869117238
1988,Fall,4.65,Critical,D,3994.4835164835163,6690.153846153846,91.596747752868,18.231502308149366,4.659850672824374,65.33078375056316
1989,Winter,6.13,Dry,D,5716.4,8565.922222222222,89.63556051395786,9.582830687830688,4.714853685545835,62.45703239289446
1989,Spring,6.13,Dry,D,19414.239130434784,9058.478260869566,72.11945458324803,NA,NA,NA
1989,Summer,6.13,Dry,D,5589.54347826087,8912.619565217392,81.31898284749462,21.24920048701299,2.727811369747376,47.550429292929294
1989,Fall,6.13,Dry,D,5595.868131868132,10610.351648351649,86.08622534343078,18.045546306236407,3.3049410789720524,63.051896110425524
1990,Winter,4.81,Critical,D,7032.044444444445,10563.9,85.0770107816727,10.504777777777777,3.450116046726148,63.39057471264368
1990,Spring,4.81,Critical,D,5810.815217391304,7968.641304347826,87.80267095641557,NA,NA,NA
1990,Summer,4.81,Critical,D,4419.79347826087,5643.413043478261,84.2911707881505,22.09530348553896,3.5918374833255458,59.872314448836185
1990,Fall,4.81,Critical,D,3449.5714285714284,4531.142857142857,91.51465554358528,18.109339784398607,4.33882291607011,77.52354638825227
1991,Winter,4.21,Critical,D,5857.433333333333,4937.766666666666,92.82228021624508,9.42462725779967,4.427470575291629,79.54081133939418
1991,Spring,4.21,Critical,D,10790.5,6729.086956521739,81.81506698871115,14.401749916749916,3.234514654680971,48.26490111195994
1991,Summer,4.21,Critical,D,3285.0760869565215,2936.336956521739,90.55785353270194,21.5516042707018,4.182633809478209,55.52373000279942
1991,Fall,4.21,Critical,D,3860.3296703296705,4324.142857142857,91.77796320493036,19.088984600366956,4.240429623901143,74.62463290665303
1992,Winter,4.06,Critical,D,13946.362637362638,5231.461538461538,89.01809167007849,9.435291847687198,3.2242373245335263,87.92373654769004
1992,Spring,4.06,Critical,D,7613.130434782609,5210.934782608696,79.20104365021328,17.7539079874374,1.8169225880896989,49.74724301841949
1992,Summer,4.06,Critical,D,3073.945652173913,2208.5760869565215,92.62688977311959,22.308820945945943,4.366276601004573,63.212538931788934
1992,Fall,4.06,Critical,D,3951.8901098901097,2990.4945054945056,93.18874952391668,19.243062281140286,4.590954524598055,75.8368891402715
1993,Winter,8.54,Above Normal,N,41052.811111111114,8333.655555555555,71.5209106801999,9.538117679255611,2.589213358505336,41.394914740431986
1993,Spring,8.54,Above Normal,N,44486.29347826087,5089.760869565217,60.196020518044854,15.611686187012245,0.3325929396162774,44.293274853801165
1993,Summer,8.54,Above Normal,N,15188.75,8099.641304347826,70.91068964946423,21.138929146537844,1.0696624632993392,48.956925361273186
1993,Fall,8.54,Above Normal,N,5925.780219780219,9707.813186813188,83.92396056529563,18.075805555555558,2.834716929381379,75.05660826645013
1994,Winter,5.02,Critical,N,14368.722222222223,7520.4111111111115,79.9453282006989,9.598003097173828,2.776000357283549,70.96355847404628
1994,Spring,5.02,Critical,N,8903.434782608696,2841.945652173913,76.62458855154735,15.727488966318235,1.3506338718932698,66.31044134727061
1994,Summer,5.02,Critical,N,3871.228260869565,4320.79347826087,88.53716046394064,21.920859292017827,3.5341806055944933,66.88940927365317
1994,Fall,5.02,Critical,N,4676.879120879121,6394.175824175824,89.91019738755777,16.520431848201216,4.0348517600907945,80.77600665333505
1995,Winter,12.89,Wet,W,63000.36666666667,9435.444444444445,67.1347462287686,9.959040903540906,2.408366504260111,42.43350586408058
1995,Spring,12.89,Wet,W,130267.07608695653,3662.4347826086955,49.25930648554734,14.036513409961685,0.3264408426668943,42.64377534809831
1995,Summer,12.89,Wet,W,27937.347826086956,9292.054347826086,63.73624540259681,20.45980602431591,0.4133867243255288,51.4421311741887
1995,Fall,12.89,Wet,W,13108.736263736264,6864.923076923077,73.25375378138625,17.783324940707512,1.5666517809047362,69.18179804838854
1996,Winter,10.26,Wet,W,60834.25274725275,7100.2307692307695,62.81051137365236,12.13360112303125,1.0356199612317738,47.6335063093852
1996,Spring,10.26,Wet,W,59252.239130434784,4287.086956521739,55.14567258071357,16.010679774148013,0.4444360477084015,49.62453115547489
1996,Summer,10.26,Wet,W,11296.641304347826,10533.33695652174,72.71789893340619,22.067180831940316,1.4467225987270926,57.433992545323264
1996,Fall,10.26,Wet,W,7337.142857142857,10149.142857142857,81.38763076548686,17.49586121623508,2.8562033466032624,78.34179754234201
1997,Winter,10.82,Wet,W,156399.3,4356.877777777778,53.20355555555555,11.433770431826693,0.5227417542776903,28.351942089873127
1997,Spring,10.82,Wet,W,20176.619565217392,5067.391304347826,65.4604347826087,16.47102589807853,1.2599417277558318,48.33595684613834
1997,Summer,10.82,Wet,W,8807.923913043478,8906.29347826087,77.28054347826087,22.307902717352317,2.5474235918985464,54.17640020154059
1997,Fall,10.82,Wet,W,6261.571428571428,9495.351648351649,84.29186813186813,18.748032993624644,3.0717744508914584,73.10790156443514
1998,Winter,13.31,Wet,W,98663.92222222222,7340.877777777778,64.52922222222222,10.631125428513814,1.2003783919102946,39.92615245009075
1998,Spring,13.31,Wet,W,86775.03260869565,2524.6739130434785,49.85326086956522,14.58740108892922,0.2651511275757111,39.0247619047619
1998,Summer,13.31,Wet,W,40671.510869565216,7620.945652173913,59.44423913043478,21.50053163810327,0.4832283043310903,40.359305060408005
1998,Fall,13.31,Wet,W,17602.351648351647,7759.054945054945,70.89516483516483,16.87769353342493,1.097076002649595,56.06853006533587
1999,Winter,9.8,Wet,W,60107.5,4060.9,60.961888888888886,8.899719643224982,1.0755850317967113,47.514367816091955
1999,Spring,9.8,Wet,W,42350.467391304344,5195.5,58.36086956521739,12.564558983666062,0.5882064289977348,44.180703770921554
1999,Summer,9.8,Wet,W,10082.95652173913,9140.434782608696,74.65478260869565,20.395825245098038,1.1723538419558797,45.96842334594657
1999,Fall,9.8,Wet,W,5294.021978021978,10123.813186813188,84.83307692307692,18.19197182726711,3.2173344281055223,67.08471447984384
2000,Winter,8.94,Above Normal,W,40890.93406593407,9278.406593406593,73.44527472527473,10.612884067243554,1.9823411726695308,66.99942449941928
2000,Spring,8.94,Above Normal,W,45960.30434782609,5917.597826086957,59.29054347826087,15.54635430530349,0.7111620067316373,50.39886670699738
2000,Summer,8.94,Above Normal,W,8077.782608695652,9824.673913043478,76.97152173913044,21.568163140694875,2.0471794221285693,57.39660947712419
2000,Fall,8.94,Above Normal,W,5054.945054945055,9971.461538461539,85.35186813186813,17.518834519986967,3.4527454176722556,70.71173063811902
2001,Winter,5.76,Dry,D,13392.8,7938.811111111111,79.47066666666667,9.845363235675396,3.3058409640503674,60.820822100295786
2001,Spring,5.76,Dry,D,15149.271739130434,4664.445652173913,72.36923913043478,16.101575922565033,1.5697214691032864,43.66546481145392
2001,Summer,5.76,Dry,D,5127.326086956522,6807.217391304348,82.86630434782609,21.84682435958254,3.6109964827755534,54.32438955151953
2001,Fall,5.76,Dry,D,5537.263736263736,6558.340659340659,86.98351648351648,18.857952727752185,4.688295150108133,63.03894845424791
2002,Winter,6.35,Dry,D,25604,9863.611111111111,69.97411111111111,10.70135188546078,1.4106289782961614,38.41395350968854
2002,Spring,6.35,Dry,D,14183.95652173913,4859.597826086957,72.97173913043478,15.409444444444444,1.8279788043718737,57.51111111111111
2002,Summer,6.35,Dry,D,5661.369565217391,9279.315217391304,81.11880434782609,21.99315987933635,3.05242899268234,57.622467439967444
2002,Fall,6.35,Dry,D,5223.758241758242,7177.549450549451,86.28956043956043,18.00225999503622,3.9684692510317805,73.80405820031955
2003,Winter,8.21,Above Normal,N,36884.1,9548.655555555555,68.33922222222222,11.068875781407542,2.2647711466385405,64.43936378302077
2003,Spring,8.21,Above Normal,N,26639.717391304348,6150.119565217391,67.35282608695653,15.985555555555555,1.3593424241756142,65.95555555555556
2003,Summer,8.21,Above Normal,N,9452.532608695652,11198.347826086956,74.80054347826086,21.856984791352435,1.3666583850254066,54.255180424151014
2003,Fall,8.21,Above Normal,N,4800.076923076923,8938.131868131868,86.06032967032966,18.006746199716797,3.513835665892854,75.1443824193552
2004,Winter,7.51,Below Normal,N,40774.241758241755,10168.153846153846,69.10087912087911,11.025424682395645,2.0005834799027884,47.59208653818454
2004,Spring,7.51,Below Normal,N,30333.391304347828,5844.652173913043,64.05739130434783,17.87488888888889,0.8721641038806408,52.09444444444445
2004,Summer,7.51,Below Normal,N,6123.369565217391,9473.065217391304,81.13576086956522,21.635928641419355,2.68003119265764,63.581796775063026
2004,Fall,7.51,Below Normal,N,6662.780219780219,8404.604395604396,83.11659340659341,17.586474371605405,3.8858747050363753,88.0374914740432
2005,Winter,8.49,Above Normal,W,23627.255555555555,9801.433333333332,72.86866666666667,10.6602319481285,2.174220184101407,54.92163277335691
2005,Spring,8.49,Above Normal,W,39927.84782608696,5486.184782608696,62.89054347826087,16.839907936507938,0.5967634891651924,59.86031746031746
2005,Summer,8.49,Above Normal,W,14199.054347826086,11356.347826086956,70.98967391304348,21.625449954318643,1.34536993390319,58.73081154684096
2005,Fall,8.49,Above Normal,W,5497.505494505494,10822.505494505494,83.82527472527472,17.527348581112374,3.3327177432952486,80.86800618921309
2006,Winter,13.2,Wet,W,81231.85555555555,9178.266666666666,63.099222222222224,10.749057929724597,1.621976128034067,52.51676245210728
2006,Spring,13.2,Wet,W,124798.06521739131,4579.119565217391,49.03663043478261,15.335688888888889,0.1651663643777434,46.16888888888889
2006,Summer,13.2,Wet,W,17731.608695652172,10339.760869565218,67.7270652173913,22.09605936819172,1.0719804738790395,55.365318627450975
2006,Fall,13.2,Wet,W,5693.813186813187,10681.252747252747,82.87703296703297,17.462506631299735,3.277499730721003,80.1161995284409
2007,Winter,6.19,Dry,D,12552.08888888889,8621.166666666666,79.21855555555555,10.03894061302682,3.2585903320322207,67.71258894362343
2007,Spring,6.19,Dry,D,11566.130434782608,4604.358695652174,74.17543478260869,16.527103174603173,1.905956542918149,64.61984126984127
2007,Summer,6.19,Dry,D,5624.25,8851.021739130434,82.25554347826088,21.89198474945534,2.6946268096537733,69.33971677559913
2007,Fall,6.19,Dry,D,4158.406593406594,8032.956043956044,87.50406593406593,17.88336282074923,4.21971760100511,98.03759504862954
2008,Winter,5.16,Critical,D,18503.648351648353,6623.120879120879,76.49593406593407,9.774613683634373,2.3406537709538284,48.28346195949644
2008,Spring,5.16,Critical,D,9996.58695652174,2703.0760869565215,75.20119565217391,16.09952380952381,2.2154923179593236,62.06269841269842
2008,Summer,5.16,Critical,D,4664.923913043478,4800.010869565217,84.3945652173913,21.867650974180297,3.631563329299152,64.41865954259816
2008,Fall,5.16,Critical,D,4345.615384615385,4980.43956043956,88.4545054945055,18.43646153846154,4.457042066845373,98.94867374005304
2009,Winter,5.78,Dry,D,11700.877777777778,3813.2555555555555,82.04833333333333,10.426812260536398,4.257946321734594,89.63206896551725
2009,Spring,5.78,Dry,D,15993.04347826087,3710.032608695652,71.88021739130434,16.960714285714285,1.5669706590222294,67.19126984126984
2009,Summer,5.78,Dry,D,5814.815217391304,7227.663043478261,81.25173913043479,21.325183353139234,2.8779982549939125,73.0062683204595
2009,Fall,5.78,Dry,D,4984.1648351648355,5885.197802197802,86.40835164835165,17.940798850574712,4.292722912816196,114.72508585788077
2010,Winter,7.08,Below Normal,D,20806.655555555557,6087.466666666666,76.65022222222223,10.072672413793104,3.662190781747006,73.01783524904215
2010,Spring,7.08,Below Normal,D,20761.239130434784,3761.8260869565215,68.32217391304347,14.704079365079364,0.8731530913093921,61.48063492063492
2010,Summer,7.08,Below Normal,D,8995.619565217392,9373.608695652174,76.85967391304348,20.85641147893501,1.5931122172944634,69.16846065699008
2010,Fall,7.08,Below Normal,D,6119.285714285715,9765.461538461539,84.9367032967033,18.300064102564104,3.669084539218476,116.09389478337754
2011,Winter,10.54,Wet,N,38967.3,10311.133333333333,66.00866666666667,10.267780651340995,2.3822549989598283,69.27877394636015
2011,Spring,10.54,Wet,N,78677.28260869565,5402.695652173913,55.1920652173913,14.929888888888888,0.3380636767317063,68.12
2011,Summer,10.54,Wet,N,22643.032608695652,11133.83695652174,66.65597826086956,20.599312041988515,0.6295488665605046,71.33333283818578
2011,Fall,10.54,Wet,N,10864.307692307691,9893.681318681318,76.24384615384615,17.505847552236027,1.8944152918920854,99.32852288767897
2012,Winter,6.89,Below Normal,D,9160.461538461539,6556.945054945055,79.48714285714286,9.987410919540231,3.4495593915472327,87.95727969348658
2012,Spring,6.89,Below Normal,D,20046.543478260868,3093.1521739130435,70.59097826086956,15.813888888888888,1.1370256079487668,67.34444444444445
2012,Summer,6.89,Below Normal,D,6811.228260869565,8578.195652173914,79.90771739130435,21.581425925925927,2.7418991802370667,79.40324618736383
2012,Fall,6.89,Below Normal,D,5210.318681318681,8165.153846153846,86.06758241758241,18.626972148541117,4.0071341238019365,122.32420866489832
2013,Winter,5.83,Dry,D,28475.077777777777,5504.455555555555,68.63388888888889,10.87149590373784,1.7531111905458785,64.48567628749292
2013,Spring,5.83,Dry,D,10831.619565217392,3160.0760869565215,75.4479347826087,17.896416666666667,2.962765875787673,84.40833333333333
2013,Summer,5.83,Dry,D,6123.967391304348,7579.934782608696,81.16130434782609,21.751234204793025,3.1531380307005983,74.84192810457516
2013,Fall,5.83,Dry,D,5134.846153846154,4853.67032967033,85.12428571428572,18.333340495137048,4.045056809948256,111.04025935750074
2014,Winter,4.07,Critical,D,6793.211111111111,2346.0444444444443,83.59955555555555,9.981811494252874,4.4261370843294685,111.68258620689656
2014,Spring,4.07,Critical,D,8273.967391304348,3331.2608695652175,80.05673913043478,17.137444444444444,2.537711222593967,80.26666666666667
2014,Summer,4.07,Critical,D,4291.217391304348,1851.6847826086957,86.27967391304348,22.367641350220993,4.92037474258621,87.99093175460368
2014,Fall,4.07,Critical,D,4454.747252747253,2610.7582417582416,87.38681318681319,19.958101637825774,4.952511004149447,122.37104837691044
2015,Winter,4,Critical,D,18683.533333333333,5604.288888888889,75.307,12.869287391152909,3.453433702362648,57.47115639150122
2015,Spring,4,Critical,D,6232.336956521739,1964.0434782608695,81.10782608695652,17.581777777777777,3.9905848488658555,82.71111111111111
2015,Summer,4,Critical,D,4675.402173913043,1028.1630434782608,84.97380434782609,22.660388365420758,5.133149466323876,86.59919036625558
2015,Fall,4,Critical,D,4777.021978021978,2025.0549450549452,85.91703296703297,19.441037625784176,4.807592778091715,128.62182202854615
2016,Winter,6.71,Below Normal,D,18251.824175824175,4048.2087912087914,75.53879120879121,10.254317788724686,3.73634616183879,78.52163656267105
2016,Spring,6.71,Below Normal,D,32350.869565217392,3437.163043478261,66.43402173913043,17.564861111111114,1.9223905705536626,85.51222222222222
2016,Summer,6.71,Below Normal,D,7166.684782608696,7358.358695652174,79.05380434782609,21.97326437908497,3.1756390029289103,89.89953625894802
2016,Fall,6.71,Below Normal,D,7162.912087912088,8090.494505494506,82.89791208791209,18.430459040843324,3.9881600958583245,115.15214559386973
2017,Winter,14.14,Wet,N,145452.3,10565.622222222222,58.934444444444445,10.39973492063492,1.2535584715533548,45.515590398761134
2017,Spring,14.14,Wet,N,98739.67391304347,5673.804347826087,47.66695652173913,14.962119047619048,0.25142914420422513,NA
2017,Summer,14.14,Wet,N,15871.097826086956,11372.641304347826,69.12478260869565,21.64058415200211,1.349843853891554,NA
2017,Fall,14.14,Wet,N,10429.131868131868,7789.428571428572,76.05549450549451,18.216878346020863,2.53172095216423,105.16539748262204
2018,Winter,7.14,Below Normal,N,11808.822222222223,6421.044444444445,76.56744444444445,11.391207553366174,3.2003144518458506,103.0842580152925
2018,Spring,7.14,Below Normal,N,27439.771739130436,4434.75,67.89391304347826,15.45334365079365,1.3748054295405476,NA
2018,Summer,7.14,Below Normal,N,6568.336956521739,6684.45652173913,79.71510869565218,21.935378710665553,2.7190078168340155,NA
2018,Fall,7.14,Below Normal,N,6311.648351648351,7444.318681318681,83.82197802197803,18.121524197999555,3.997771121083056,143.46258305359268
2019,Winter,10.34,Wet,N,40088.055555555555,7382.288888888889,70.87833333333333,10.338025706987777,2.3930778385462625,95.86931216931217
2019,Spring,10.34,Wet,N,85507.54347826086,4571.217391304348,52.1025,14.786061904761906,0.23470026409054304,NA
2019,Summer,10.34,Wet,N,17260.369565217392,10157.358695652174,69.53086956521739,22.095765685492697,1.2915126343284022,NA
2019,Fall,10.34,Wet,N,10855.021978021978,5931,75.34483516483516,18.086704320827167,2.261589255254298,116.04186939820647
2020,Winter,6.13,Dry,D,13092.923076923076,6999.725274725275,74.98879120879121,10.823993459859217,2.910111290121677,68.21795127353266
2020,Spring,6.13,Dry,D,10242.065217391304,3080.782608695652,76.35010869565217,13.538055555555555,3.407390180434064,NA
2020,Summer,6.13,Dry,D,4987.358695652174,5664.478260869565,83.34467391304348,22.42600518341308,3.362681203653554,NA
2020,Fall,6.13,Dry,D,4565.406593406594,5613.166666666667,86.66637813631176,18.764997882254033,4.274917492805768,140.96850944831698
2021,Winter,NA,Critical,D,8402.68888888889,NA,81.44344813615801,11.28572735042735,4.165064876696517,130.2848717948718
2021,Spring,NA,Critical,D,6875.467391304348,NA,80.5163002037083,16.12090606060606,3.6021724027394195,NA
2021,Summer,NA,Critical,D,3371.163043478261,NA,88.61284013385408,22.15237976134029,4.714510824402638,NA
2021,Fall,NA,Critical,D,7429.55737704918,NA,NA,19.78177499383135,4.071614653903221,135.99542816746205
