Year,Mo,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2
2021,10,2021-10-01,7300,42,6,120,111,283,520,7861,108,398,1710,44,2260,2077,0,0,2077,4380,1334,2380,3525,0.26,55,7578,53,90.41
2021,10,2021-10-02,7200,41,7,149,107,331,594,7835,103,395,1719,40,2257,2030,0,0,2030,4490,1547,2183,3548,0.26,55,7504,53,90.32
2021,10,2021-10-03,7220,42,7,168,92,379,646,7908,103,399,1720,51,2274,2009,0,0,2009,4360,1478,2339,3625,0.26,54,7529,52,90.22
2021,10,2021-10-04,7010,42,7,150,38,366,561,7613,103,393,1721,48,2265,2004,0,0,2004,3156,197,3335,3344,0.27,56,7247,54,90.17
2021,10,2021-10-05,7040,42,7,206,20,348,580,7662,100,389,1726,46,2261,1959,0,0,1959,2472,-436,4062,3442,0.27,55,7314,53,90.12
2021,10,2021-10-06,7280,42,7,625,15,332,979,8301,100,391,1727,50,2268,1957,0,0,1957,2499.99,-10,4274,4077,0.25,51,7969,49,89.95
2021,10,2021-10-07,7280,42,7,453,15,306,782,8104,99,396,1706,50,2252,1902,0,0,1902,2648,-8,4142,3950,0.25,51,7798,49,89.81
2021,10,2021-10-08,7470,44,8,262,16,359,645,8158,91,393,1699,58,2241,1904,0,0,1904,3700,924,3280,4013,0.25,51,7799,49,89.68
2021,10,2021-10-09,7630,43,8,143,16,381,548,8221,88,294,1710,66,2157,1916,0,0,1916,4440,1650,2697,4147,0.24,50,7840,47,89.52
2021,10,2021-10-10,7500,43,8,152,17,446,622,8165,80,295,1719,51,2146,1866,0,0,1866,4310,1625,2711,4154,0.24,49,7719,46,89.38
2021,10,2021-10-11,8070,43,9,166,16,467,658,8771,84,297,1699,53,2133,1865,0,0,1865,3190,556,4400,4773,0.22,46,8304,43,89.15
2021,10,2021-10-12,7790,42,11,260,17,485,772,8604,91,295,1702,54,2143,1851,0,0,1851,2287.4,-233,5026,4610,0.23,46,8119,43,88.96
2021,10,2021-10-13,7380,42,10,97,16,477,601,8023,107,290,1706,58,2160,1853,0,0,1853,2330.14,-376,4573,4010,0.24,50,7546,47,88.87
2021,10,2021-10-14,7620,42,10,111,17,418,556,8218,102,296,1703,58,2159,1807,0,0,1807,2671,-49,4486,4252,0.24,48,7800,45,88.75
2021,10,2021-10-15,7560,44,11,248,17,403,679,8282,118,291,1699,66,2174,1805,0,0,1805,3970,1368,3128,4303,0.23,48,7879,45,88.62
2021,10,2021-10-16,7200,47,11,97,20,434,562,7809,140,300,1677,52,2170,1826,0,0,1826,4560,1818,2176,3814,0.25,51,7375,48,88.58
2021,10,2021-10-17,6970,49,11,112,41,509,673,7692,137,291,800,39,1267,1834,0,0,1834,4290,2542,2216,4590,0.14,40,7183,36,88.43
2021,10,2021-10-18,7360,48,11,188,60,760,1019,8428,127,293,799,50,1269,1782,0,0,1782,3137,1779,3772,5376,0.13,36,7668,30,88.18
2021,10,2021-10-19,7350,48,12,715,68,890,1685,9083,90,294,805,53,1242,1783,0,0,1783,2514.6,1851,4385,6058,0.12,33,8193,26,87.86
2021,10,2021-10-20,7440,49,15,543,59,824,1441,8930,76,298,807,58,1239,1784,0,0,1784,2529.98,1631,4459,5906,0.12,34,8106,27,87.58
2021,10,2021-10-21,7710,48,19,376,46,1000,1442,9200,71,292,811,52,1225,1783,229,0,1554,2698,1956,4625,6420,0.12,30,8200,22,87.26
2021,10,2021-10-22,8240,49,21,232,41,1090,1384,9673,63,295,805,40,1203,1778,1604,0,174,3840,3949,4400,8296,0.11,14,8583,3,86.8
2021,10,2021-10-23,8860,54,31,181,46,1320,1578,10493,67,297,801,27,1193,1743,2062,0,-319,4970,5590,4034,9619,0.1,8,9682,1,86.26
2021,10,2021-10-24,12900,694,509,362,50,1490,2411,16005,58,994,1722,17,2791,1746,25451,0,-23705,6430,21475,13801,36919,0.17,-131,23170,-59,84.88
2021,10,2021-10-25,24300,665,8150,388,48,1800,10386,35351,64,998,1713,22,2797,1744,30725,0,-28981,6630,33079,26450,61535,0.08,-74,44726,-38,83.25
2021,10,2021-10-26,34500,1026,1300,252,42,2240,3834,39360,40,3998,1726,24,5788,1745,30496,0,-28751,6370,23128,37206,62323,0.15,-58,45647,-37,81.7
2021,10,2021-10-27,35100,1246,434,197,27,1700,2358,38704,11,6677,2705,15,9407,1745,29121,0,-27376,6360,17120,37651,56672,0.24,-46,41705,-36,80.3
2021,10,2021-10-28,29200,1146,262,144,31,1400,1837,32183,37,6677,2469,35,9217,1731,28663,0,-26932,5610,15772,32277,49899,0.28,-55,35313,-41,79.06
2021,10,2021-10-29,22400,728,214,266,44,1370,1894,25022,97,6678,3251,34,10060,1688,5274,0,-3586,4700,-1100,19432,18549,0.4,26,23652,22,78.52
2021,10,2021-10-30,18300,305,167,177,52,1310,1706,20311,107,6673,3579,53,10412,1692,0,0,1692,3980,-5772,14151,8207,0.5,60,19001,57,78.55
2021,10,2021-10-31,14800,106,139,173,45,1470,1827,16733,69,6673,3560,60,10362,1692,0,0,1692,3520,-6055,10912,4679,0.61,72,15263,69,78.93
2021,11,2021-11-01,12300,70,121,157,43,1580,1901,14270,208,6673,3849,64,10794,1689,229,0,1460,3290,-6489,8671,2016,0.74,86,12690,84,79.83
2021,11,2021-11-02,11000,125,107,664,43,1410,2224,13349,251,6680,4217,64,11211,1697,229,0,1468,3150,-6727,7564,670,0.82,95,11939,94,81.4
2021,11,2021-11-03,9900,169,96,544,29,1180,1849,11918,250,1444,4252,66,6012,1694,229,0,1465,3030,-2020,6629,4441,0.48,63,10738,59,81.66
2021,11,2021-11-04,9910,138,92,378,30,1110,1609,11657,252,0,4267,74,4592,1694,458,0,1236,3122,-590,6580,5830,0.37,50,10547,45,81.73
2021,11,2021-11-05,10100,125,88,202,44,973,1307,11532,261,0,4295,70,4626,1694,458,0,1236,4380,328,5499,5670,0.37,51,10559,46,81.81
2021,11,2021-11-06,9670,126,84,181,58,834,1157,10953,96,2993,4275,58,7421,1696,229,0,1468,5240,-1920,4145,2064,0.66,81,10119,80,82.54
2021,11,2021-11-07,9300,125,76,168,65,760,1069,10494,100,2390,4452,58,7000,1694,229,0,1465,5200,-1625,3814,2028,0.65,81,9734,79,83.25
2021,11,2021-11-08,8810,99,71,167,57,737,1032,9941,97,2091,4271,55,6514,1648,916,0,732,5040,-863,3664,2695,0.64,73,9204,71,83.73
2021,11,2021-11-09,9050,76,90,194,54,721,1059,10185,66,2997,4255,53,7371,1646,2980,0,-1334,4980,-412,4520,4148,0.71,59,9464,56,83.9
2021,11,2021-11-10,9530,76,297,171,54,705,1227,10833,104,4996,2122,64,7285,1646,2980,0,-1334,4960,-168,5020,4882,0.66,55,10128,52,83.96
2021,11,2021-11-11,10700,76,196,165,49,667,1077,11853,264,5995,2778,60,9097,1647,2980,0,-1333,5440,-1653,5709,4089,0.74,66,11186,63,84.13
2021,11,2021-11-12,13000,73,143,167,44,656,1010,14083,272,5497,3225,56,9050,1645,2980,0,-1335,6070,-1046,7377,6368,0.62,55,13427,53,84.01
2021,11,2021-11-13,12400,70,122,163,37,614,936,13406,281,3998,3570,45,7894,1644,2293,0,-648,4380,-2111,8271,6160,0.56,54,12792,52,83.91
2021,11,2021-11-14,10700,69,109,166,36,594,905,11674,281,3988,3567,49,7886,1644,0,0,1644,3039.6,-4961,7269,2144,0.65,82,11080,81,84.5
2021,11,2021-11-15,9180,68,99,166,44,600,909,10157,114,2486,3282,52,5935,1700,0,0,1700,2810,-3268,5962,2522,0.57,75,9557,74,84.96
2021,11,2021-11-16,8320,67,92,161,50,600,902,9290,75,994,3776,54,4899,1692,0,0,1692,2650,-2392,5263,2698,0.51,71,8690,69,85.34
2021,11,2021-11-17,7540,69,85,163,42,597,887,8496,72,991,2612,56,3731,1692,0,0,1692,2480,-1408,4655,3072,0.42,64,7899,61,85.62
2021,11,2021-11-18,7120,71,80,164,45,605,895,8085,108,294,2705,56,3163,1688,0,0,1688,2534,-776,4184,3234,0.37,60,7480,57,85.86
2021,11,2021-11-19,7100,71,76,160,54,603,893,8064,106,297,2742,38,3182,1698,0,0,1698,3370,15,3325,3184,0.38,61,7461,57,86.08
2021,11,2021-11-20,6990,71,72,160,45,610,887,7947,88,297,2739,28,3152,1746,0,0,1746,3890,518,2682,3050,0.38,62,7337,58,86.33
2021,11,2021-11-21,6890,72,69,162,40,619,890,7851,77,294,2740,27,3138,1742,0,0,1742,3830,476,2644,2971,0.39,62,7232,59,86.58
2021,11,2021-11-22,6560,72,66,160,38,622,886,7519,81,296,2734,39,3151,1746,0,0,1746,3720,359,2423,2621,0.4,65,6897,62,86.89
2021,11,2021-11-23,6670,72,64,158,40,623,885,7627,96,299,2741,45,3182,1746,0,0,1746,2930,-456,3323,2699,0.4,65,7004,61,87.17
2021,11,2021-11-24,6880,68,62,164,44,617,887,7835,120,296,2735,41,3192,1747,0,0,1747,2054,-1345,4405,2897,0.39,63,7218,60,87.39
2021,11,2021-11-25,6580,61,60,161,35,598,853,7494,126,296,1772,37,2231,1796,0,0,1796,2090,-419,4048,3467,0.28,54,6896,50,87.48
2021,11,2021-11-26,6330,58,58,158,33,598,847,7235,125,292,1768,39,2225,1796,0,0,1796,2880,374,3005,3214,0.28,56,6637,52,87.61
2021,11,2021-11-27,6390,61,57,161,40,595,853,7304,107,292,1767,40,2207,1846,0,0,1846,3490,976,2445,3251,0.28,55,6709,52,87.73
2021,11,2021-11-28,6400,63,56,162,40,591,849,7312,98,298,1766,39,2201,1895,0,0,1895,3600,1055,2333,3216,0.28,56,6721,52,87.85
2021,11,2021-11-29,6450,64,55,160,35,596,846,7359,98,296,1734,43,2172,1898,0,0,1898,3620,1104,2362,3290,0.28,55,6763,51,87.95
2021,11,2021-11-30,6410,64,54,161,44,593,852,7325,25,296,1711,49,2081,1946,0,0,1946,2940,494,2989,3298,0.27,55,6732,51,88.04
2021,12,2021-12-01,6300,64,53,165,54,582,854,7217,59,293,1707,52,2110,2000,0,0,2000,2281.2,-223,3522,3107,0.28,57,6635,53,88.16
2021,12,2021-12-02,6100,63,52,161,54,560,827,6990,60,294,1715,56,2124,1992,0,0,1992,2260,-277,3345,2873,0.29,59,6430,55,88.33
2021,12,2021-12-03,6040,62,50,163,54,546,813,6915,60,289,929,49,1326,1996,0,0,1996,2230,468,3313,3592,0.18,48,6369,44,88.35
2021,12,2021-12-04,6340,62,49,158,54,542,803,7205,60,296,925,51,1332,2044,0,0,2044,2210,404,3620,3829,0.17,47,6663,43,88.32
2021,12,2021-12-05,6580,63,48,161,54,556,819,7462,60,296,922,44,1322,2096,0,0,2096,2220,399,3836,4045,0.16,46,6906,41,88.26
2021,12,2021-12-06,6540,64,48,160,54,561,822,7426,60,290,886,41,1278,2098,229,0,1869,2240,611,3840,4279,0.16,42,6865,38,88.17
2021,12,2021-12-07,6460,62,49,168,54,561,832,7354,60,300,832,39,1231,2145,229,0,1916,2190,584,3796,4206,0.15,43,6793,38,88.09
2021,12,2021-12-08,6600,61,50,158,54,542,804,7465,60,298,833,46,1237,2145,229,0,1916,2190,558,3934,4312,0.15,42,6923,38,88
2021,12,2021-12-09,6880,62,60,167,55,528,810,7752,61,349,841,50,1300,2150,687,0,1463,2210,819,4323,4989,0.15,36,7224,31,87.82
2021,12,2021-12-10,6930,65,92,160,57,535,844,7839,72,255,836,54,1217,2195,687,0,1508,2160,861,4413,5114,0.14,35,7304,30,87.63
2021,12,2021-12-11,6500,56,88,158,57,556,859,7414,40,292,836,58,1227,2195,458,0,1737,2130,690,3939,4451,0.15,40,6858,35,87.55
2021,12,2021-12-12,6440,55,70,166,57,595,888,7382,12,293,817,40,1162,2200,1375,0,825,2160,1389,4104,5395,0.15,27,6787,21,87.34
2021,12,2021-12-13,9120,485,263,238,57,643,1201,10806,82,1490,1738,28,3338,2195,11923,0,-9728,2630,6843,9699,17196,0.3,-59,11847,-45,86.4
2021,12,2021-12-14,16200,353,2600,260,57,773,3690,20243,269,2989,2612,26,5896,2198,12382,0,-10184,3740,8180,15664,24531,0.28,-21,19470,-26,85.28
2021,12,2021-12-15,24600,246,1050,201,67,1020,2338,27184,277,2995,3413,26,6710,2195,12382,0,-10187,4840,7115,22858,30661,0.24,-13,26164,-17,84.08
2021,12,2021-12-16,28500,800,996,212,58,1010,2276,31576,278,2289,3939,21,6528,2195,15133,0,-12938,5490,9669,27433,37986,0.2,-20,30566,-24,82.81
2021,12,2021-12-17,28100,843,828,182,58,998,2066,31009,276,4893,4129,11,9310,2196,14216,0,-12020,5440,6021,26869,33720,0.29,-9,30011,-12,81.68
2021,12,2021-12-18,27300,1017,474,167,58,1030,1729,30046,226,5489,4116,14,9845,2144,3668,0,-1524,5310,-1801,23434,21725,0.32,28,29016,25,80.9
2021,12,2021-12-19,24900,831,342,171,58,989,1560,27291,280,5498,4154,15,9947,2150,2751,0,-601,4930,-3052,20969,17945,0.35,34,26302,32,80.28
2021,12,2021-12-20,21200,347,273,161,58,970,1462,23009,110,1195,933,13,2252,2141,2751,0,-610,4310,3930,17408,21368,0.09,7,22039,3,79.59
2021,12,2021-12-21,18100,126,230,163,58,942,1393,19619,123,1197,915,11,2245,2100,687,0,1413,3810,2050,14020,15961,0.11,19,18677,15,79.12
2021,12,2021-12-22,16200,108,214,179,58,824,1275,17583,124,1293,914,15,2347,2095,2292,0,-197,3540,2611,12823,15433,0.13,12,16759,8,78.7
2021,12,2021-12-23,17100,283,3180,236,63,793,4272,21655,126,1297,919,12,2353,2045,5731,0,-3686,3650,7977,14765,22988,0.1,-6,20862,-10,78.05
2021,12,2021-12-24,22500,461,3890,231,70,974,5165,28126,107,392,1700,14,2213,2049,6189,0,-4140,4300,9957,19820,30053,0.07,-7,28113,-7,77.26
2021,12,2021-12-25,29700,953,2610,216,59,1180,4065,34718,94,499,1695,9,2297,1996,8482,0,-6486,5380,11373,27089,38907,0.06,-12,35145,-11,76.34
2021,12,2021-12-26,33700,1341,2500,218,60,1360,4138,39179,88,792,1701,12,2594,1995,8712,0,-6717,6060,11982,30862,43302,0.06,-11,39406,-10,75.41
2021,12,2021-12-27,34300,1476,3690,209,59,1650,5608,41384,100,792,1697,14,2604,1950,8941,0,-6992,6300,13863,31434,45772,0.06,-11,41717,-10,74.49
2021,12,2021-12-28,33700,1456,2290,215,67,2060,4632,39788,79,792,1716,14,2600,1945,5502,0,-3557,6240,10598,29912,40745,0.06,-2,38982,-5,73.7
2021,12,2021-12-29,31300,1406,1690,219,60,2450,4419,37125,55,298,2607,14,2975,1894,6878,0,-4984,5860,10557,28241,39133,0.08,-5,36280,-8,72.98
2021,12,2021-12-30,29800,1216,1380,192,50,2510,4132,35148,63,294,2602,15,2975,1850,4585,0,-2736,5620,8570,26162,34909,0.08,1,33927,-3,72.37
2021,12,2021-12-31,30000,1032,990,181,42,2290,3503,34535,61,305,2603,14,2983,1796,3668,0,-1872,5640,7391,25916,33424,0.08,3,33327,0,71.82
2022,1,2022-01-01,28400,732,789,174,42,2120,3125,32257,62,998,1698,14,2773,1696,1834,0,-138,5420,5876,23751,29622,0.08,8,30137,2,71.38
2022,1,2022-01-02,25500,441,638,163,42,1840,2683,28624,52,1494,1707,12,3266,1646,1834,0,-188,5050,4601,20944,25545,0.11,11,26784,5,71.06
2022,1,2022-01-03,23000,232,552,173,42,1530,2297,25529,44,2500,3447,13,6004,1595,0,0,1595,4750,18,18035,17929,0.23,30,23999,25,70.99
2022,1,2022-01-04,21600,128,508,167,42,1320,2037,23765,47,1794,3496,12,5350,1546,0,0,1546,4530,225,16766,16870,0.22,29,22445,25,70.96
2022,1,2022-01-05,20800,115,520,165,44,1220,1949,22864,39,2393,3478,16,5926,1500,0,0,1500,4390,-546,16105,15438,0.26,32,21644,29,70.99
2022,1,2022-01-06,20900,130,511,171,43,1150,1875,22905,32,1664,4016,20,5732,1450,0,0,1450,4380,-399,16244,15723,0.25,31,21755,28,71
2022,1,2022-01-07,21800,124,521,162,42,1110,1835,23759,31,1692,4208,17,5948,1399,0,0,1399,4490,-515,17042,16412,0.25,31,22649,28,70.99
2022,1,2022-01-08,22300,108,609,164,42,1120,1935,24343,32,1597,4205,21,5855,1397,0,0,1397,4570,-237,17447,17091,0.24,30,23223,26,70.95
2022,1,2022-01-09,22200,93,543,161,42,1100,1846,24139,32,1587,4056,18,5692,1346,0,0,1346,4570,-134,17346,17101,0.23,29,23039,26,70.91
2022,1,2022-01-10,22200,81,482,162,42,1070,1756,24037,33,1496,4052,22,5603,1296,0,0,1296,4580,-88,17338,17137,0.23,29,22967,25,70.88
2022,1,2022-01-11,21500,71,444,163,40,1040,1687,23258,29,1690,4052,17,5789,1295,0,0,1295,4460,-467,16748,16174,0.25,30,22218,27,70.88
2022,1,2022-01-12,19900,64,425,163,37,1020,1645,21609,31,1691,4054,20,5795,1245,0,0,1245,4220,-720,15396,14569,0.27,33,20589,29,70.95
2022,1,2022-01-13,17500,60,430,165,37,1010,1642,19202,38,1694,4061,23,5816,1241,0,0,1241,3870,-1088,13342,12144,0.3,37,18192,33,71.14
2022,1,2022-01-14,16300,55,440,164,38,996,1638,17994,33,1895,4110,21,6060,1198,0,0,1198,3650,-1529,12370,10736,0.33,40,16998,37,71.39
2022,1,2022-01-15,16000,52,438,163,43,988,1632,17684,28,1892,4120,21,6060,1198,0,0,1198,3630,-1556,12086,10425,0.34,41,16696,38,71.65
2022,1,2022-01-16,15800,49,427,161,45,979,1612,17461,28,1893,4115,15,6050,1146,0,0,1146,3640,-1529,11888,10264,0.34,41,16482,38,71.9
2022,1,2022-01-17,15600,48,411,162,45,973,1591,17239,29,1589,4071,20,5709,1146,0,0,1146,3650,-1193,11677,10384,0.33,40,16266,36,72.14
2022,1,2022-01-18,15300,47,395,164,45,962,1566,16913,37,1297,4064,19,5417,1094,0,0,1094,3600,-944,11441,10402,0.32,38,15951,35,72.35
2022,1,2022-01-19,15300,46,377,163,45,958,1543,16889,31,1696,4085,25,5837,1095,0,0,1095,3560,-1422,11479,9956,0.34,41,15931,38,72.59
2022,1,2022-01-20,14900,44,364,158,45,965,1532,16476,38,1698,4091,31,5858,1095,0,0,1095,3530,-1477,11108,9523,0.35,42,15511,39,72.84
2022,1,2022-01-21,14100,44,358,163,45,965,1531,15674,29,1692,4089,37,5846,1050,0,0,1050,3400,-1561,10450,8778,0.37,44,14709,40,73.13
2022,1,2022-01-22,13100,43,356,159,44,974,1533,14676,30,1692,4144,36,5902,1050,0,0,1050,3220,-1795,9629,7724,0.4,47,13702,44,73.49
2022,1,2022-01-23,12700,42,341,155,45,973,1514,14256,29,1592,4119,35,5774,992,0,0,992,3200,-1671,9265,7490,0.4,47,13283,44,73.84
2022,1,2022-01-24,12500,43,326,162,44,953,1485,14029,30,1490,4184,35,5740,996,0,0,996,3170,-1697,9094,7292,0.4,48,13076,44,74.2
2022,1,2022-01-25,12100,44,321,160,47,950,1478,13621,30,1597,4208,35,5871,996,0,0,996,3120,-1885,8745,6755,0.43,50,12671,47,74.58
